iter	Passed	Remaining
0	120	120030
1	122	61018
2	124	41303
3	126	31533
4	129	25767
5	131	21801
6	133	18966
7	135	16832
8	137	15162
9	139	13821
10	141	12733
11	144	11904
12	147	11186
13	149	10560
14	152	10007
15	154	9499
16	156	9043
17	159	8674
18	161	8355
19	163	8029
20	165	7736
21	167	7465
22	169	7217
23	171	6987
24	174	6791
25	177	6650
26	179	6476
27	181	6308
28	183	6154
29	185	6008
30	187	5869
31	189	5740
32	193	5660
33	196	5571
34	198	5481
35	201	5391
36	203	5292
37	205	5199
38	208	5140
39	211	5077
40	214	5010
41	216	4929
42	218	4851
43	219	4778
44	222	4720
45	225	4685
46	227	4622
47	229	4558
48	231	4496
49	233	4436
50	235	4378
51	237	4323
52	239	4281
53	241	4230
54	243	4180
55	245	4131
56	246	4084
57	248	4040
58	250	3996
59	252	3954
60	254	3925
61	257	3895
62	259	3865
63	261	3830
64	263	3794
65	265	3759
66	267	3725
67	269	3690
68	271	3665
69	273	3634
70	275	3603
71	277	3573
72	279	3543
73	280	3514
74	282	3486
75	284	3458
76	286	3438
77	288	3412
78	290	3387
79	292	3363
80	294	3339
81	296	3316
82	298	3295
83	300	3272
84	302	3253
85	304	3239
86	306	3218
87	308	3197
88	310	3176
89	312	3156
90	313	3136
91	315	3117
92	317	3099
93	320	3084
94	321	3066
95	323	3047
96	325	3030
97	327	3013
98	329	2996
99	331	2979
100	332	2963
101	337	2969
102	339	2959
103	341	2943
104	343	2928
105	345	2912
106	347	2898
107	349	2884
108	351	2871
109	353	2857
110	354	2842
111	356	2829
112	358	2815
113	360	2801
114	362	2788
115	364	2774
116	366	2764
117	368	2754
118	370	2741
119	372	2729
120	374	2717
121	375	2704
122	377	2692
123	379	2680
124	381	2668
125	383	2661
126	385	2650
127	387	2639
128	389	2628
129	391	2617
130	393	2607
131	394	2596
132	396	2586
133	399	2579
134	402	2577
135	405	2572
136	407	2564
137	408	2554
138	410	2544
139	412	2535
140	415	2531
141	417	2525
142	420	2521
143	422	2513
144	424	2503
145	426	2494
146	428	2485
147	430	2477
148	432	2470
149	434	2461
150	436	2452
151	438	2443
152	439	2434
153	441	2426
154	443	2418
155	445	2410
156	447	2405
157	449	2397
158	451	2388
159	453	2380
160	455	2372
161	457	2364
162	458	2356
163	460	2348
164	463	2343
165	465	2337
166	467	2329
167	468	2321
168	470	2314
169	472	2307
170	474	2299
171	476	2292
172	478	2288
173	480	2282
174	482	2275
175	484	2268
176	486	2262
177	488	2255
178	490	2248
179	492	2241
180	494	2238
181	497	2234
182	499	2230
183	501	2223
184	503	2217
185	505	2211
186	507	2204
187	508	2198
188	511	2194
189	514	2191
190	515	2185
191	517	2179
192	519	2173
193	521	2167
194	523	2161
195	525	2155
196	527	2151
197	529	2144
198	531	2138
199	533	2133
200	535	2127
201	537	2121
202	538	2115
203	540	2110
204	543	2106
205	545	2100
206	546	2095
207	548	2089
208	550	2083
209	552	2078
210	554	2072
211	556	2067
212	558	2063
213	560	2059
214	562	2053
215	564	2048
216	566	2043
217	568	2038
218	570	2032
219	571	2027
220	573	2022
221	576	2018
222	577	2013
223	579	2008
224	581	2003
225	583	1998
226	585	1993
227	587	1988
228	589	1983
229	592	1982
230	594	1977
231	596	1973
232	598	1968
233	599	1963
234	601	1958
235	603	1953
236	606	1951
237	609	1950
238	611	1946
239	613	1941
240	614	1936
241	616	1931
242	618	1927
243	620	1922
244	622	1919
245	624	1915
246	626	1910
247	628	1906
248	630	1902
249	632	1897
250	634	1893
251	636	1889
252	638	1885
253	640	1881
254	642	1877
255	644	1873
256	646	1868
257	648	1864
258	650	1859
259	651	1855
260	653	1851
261	656	1848
262	657	1843
263	659	1839
264	661	1835
265	663	1831
266	665	1826
267	667	1822
268	669	1818
269	671	1815
270	686	1846
271	688	1843
272	691	1840
273	692	1836
274	694	1831
275	696	1827
276	698	1822
277	700	1818
278	702	1814
279	704	1812
280	706	1808
281	708	1803
282	710	1799
283	712	1795
284	714	1791
285	715	1787
286	717	1783
287	720	1781
288	723	1779
289	725	1776
290	727	1772
291	729	1768
292	731	1764
293	732	1760
294	735	1757
295	737	1753
296	739	1749
297	740	1745
298	742	1741
299	744	1737
300	746	1733
301	748	1729
302	750	1725
303	752	1722
304	754	1719
305	756	1715
306	758	1711
307	760	1707
308	761	1703
309	763	1700
310	765	1696
311	768	1694
312	770	1690
313	772	1687
314	774	1683
315	776	1680
316	778	1676
317	780	1673
318	782	1670
319	784	1667
320	786	1664
321	788	1661
322	790	1657
323	792	1653
324	794	1650
325	796	1646
326	799	1645
327	802	1643
328	804	1639
329	805	1636
330	807	1632
331	809	1629
332	811	1625
333	813	1622
334	817	1621
335	819	1619
336	821	1616
337	823	1612
338	825	1609
339	827	1606
340	829	1602
341	831	1600
342	834	1598
343	836	1595
344	838	1592
345	840	1588
346	842	1584
347	844	1581
348	845	1578
349	848	1575
350	850	1572
351	852	1568
352	854	1565
353	856	1562
354	858	1559
355	860	1556
356	862	1553
357	864	1551
358	866	1547
359	868	1544
360	870	1541
361	872	1538
362	874	1535
363	876	1531
364	879	1529
365	881	1526
366	883	1523
367	885	1520
368	887	1517
369	889	1513
370	891	1510
371	892	1507
372	895	1505
373	897	1502
374	899	1499
375	901	1496
376	903	1493
377	905	1489
378	907	1486
379	909	1483
380	911	1481
381	914	1478
382	916	1475
383	917	1472
384	919	1469
385	921	1466
386	923	1462
387	925	1459
388	927	1457
389	929	1454
390	931	1451
391	933	1448
392	935	1445
393	937	1441
394	939	1439
395	941	1436
396	944	1433
397	946	1431
398	947	1427
399	949	1424
400	951	1421
401	953	1418
402	955	1415
403	957	1411
404	959	1409
405	961	1407
406	963	1403
407	965	1400
408	967	1397
409	969	1394
410	971	1391
411	973	1388
412	975	1386
413	977	1383
414	979	1381
415	981	1378
416	983	1375
417	985	1372
418	987	1369
419	989	1367
420	992	1364
421	994	1361
422	995	1358
423	997	1355
424	999	1352
425	1001	1349
426	1003	1346
427	1005	1343
428	1008	1341
429	1010	1339
430	1012	1336
431	1013	1333
432	1015	1330
433	1017	1327
434	1019	1324
435	1021	1321
436	1024	1319
437	1027	1318
438	1029	1315
439	1031	1312
440	1033	1309
441	1035	1306
442	1037	1303
443	1039	1302
444	1041	1299
445	1043	1296
446	1045	1293
447	1047	1290
448	1049	1287
449	1051	1284
450	1052	1281
451	1055	1279
452	1057	1276
453	1059	1273
454	1061	1270
455	1063	1268
456	1064	1265
457	1066	1262
458	1068	1259
459	1071	1257
460	1073	1254
461	1074	1251
462	1076	1248
463	1078	1245
464	1080	1243
465	1082	1240
466	1084	1237
467	1086	1234
468	1088	1232
469	1090	1229
470	1092	1226
471	1093	1223
472	1095	1220
473	1097	1218
474	1099	1215
475	1101	1212
476	1103	1210
477	1105	1207
478	1107	1204
479	1109	1202
480	1111	1199
481	1113	1196
482	1115	1193
483	1116	1190
484	1120	1189
485	1122	1187
486	1124	1184
487	1126	1181
488	1127	1178
489	1129	1175
490	1131	1173
491	1133	1170
492	1136	1168
493	1138	1166
494	1140	1163
495	1142	1160
496	1144	1158
497	1146	1155
498	1147	1152
499	1149	1149
500	1152	1147
501	1153	1144
502	1155	1142
503	1157	1139
504	1159	1136
505	1161	1133
506	1163	1131
507	1164	1128
508	1167	1126
509	1169	1123
510	1171	1120
511	1173	1118
512	1174	1115
513	1176	1112
514	1178	1110
515	1180	1107
516	1182	1105
517	1184	1102
518	1186	1099
519	1188	1097
520	1190	1094
521	1192	1092
522	1194	1089
523	1196	1086
524	1198	1084
525	1200	1081
526	1202	1079
527	1204	1076
528	1205	1073
529	1207	1071
530	1209	1068
531	1211	1065
532	1213	1063
533	1216	1061
534	1218	1059
535	1220	1056
536	1222	1053
537	1224	1051
538	1226	1048
539	1227	1046
540	1230	1043
541	1232	1041
542	1235	1039
543	1238	1037
544	1239	1035
545	1241	1032
546	1243	1029
547	1245	1027
548	1248	1025
549	1250	1022
550	1252	1020
551	1254	1017
552	1256	1015
553	1257	1012
554	1259	1010
555	1261	1007
556	1264	1005
557	1266	1003
558	1268	1000
559	1270	997
560	1271	995
