"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00049219","VALLEJO, CA US","38.1","-122.1869","103.9","2024-01-01",,,"64",",,7","46",",,7"
"USC00049219","VALLEJO, CA US","38.1","-122.1869","103.9","2024-01-02",,,"61",",,7","44",",,7"
"USC00049219","VALLEJO, CA US","38.1","-122.1869","103.9","2024-01-03",,,"60",",,7","45",",,7"
"USC00049219","VALLEJO, CA US","38.1","-122.1869","103.9","2024-01-04",,,"63",",,7","40",",,7"
"USC00049219","VALLEJO, CA US","38.1","-122.1869","103.9","2024-01-05",,,"66",",,7","42",",,7"
"USC00049219","VALLEJO, CA US","38.1","-122.1869","103.9","2024-01-06",,,"66",",,7","45",",,7"
"USC00049219","VALLEJO, CA US","38.1","-122.1869","103.9","2024-01-07",,,"57",",,7","34",",,7"
"USC00049219","VALLEJO, CA US","38.1","-122.1869","103.9","2024-01-08",,,"59",",,7","38",",,7"
"USC00049219","VALLEJO, CA US","38.1","-122.1869","103.9","2024-01-09",,,"60",",,7","47",",,7"
"USC00049219","VALLEJO, CA US","38.1","-122.1869","103.9","2024-01-10",,,"59",",,7","39",",,7"
"USC00049219","VALLEJO, CA US","38.1","-122.1869","103.9","2024-01-11",,,"56",",,7","35",",,7"
"USC00049219","VALLEJO, CA US","38.1","-122.1869","103.9","2024-01-12",,,"54",",,7","38",",,7"
"USC00049219","VALLEJO, CA US","38.1","-122.1869","103.9","2024-01-13",,,"54",",,7","46",",,7"
"USC00049219","VALLEJO, CA US","38.1","-122.1869","103.9","2024-01-14",,,"59",",,7","46",",,7"
"USC00049219","VALLEJO, CA US","38.1","-122.1869","103.9","2024-01-15",,,"57",",,7","45",",,7"
"USC00049219","VALLEJO, CA US","38.1","-122.1869","103.9","2024-01-16",,,"56",",,7","47",",,7"
"USC00049219","VALLEJO, CA US","38.1","-122.1869","103.9","2024-01-17",,,"59",",,7","49",",,7"
"USC00049219","VALLEJO, CA US","38.1","-122.1869","103.9","2024-01-18",,,"58",",,7","44",",,7"
"USC00049219","VALLEJO, CA US","38.1","-122.1869","103.9","2024-01-19",,,"55",",,7","49",",,7"
"USC00049219","VALLEJO, CA US","38.1","-122.1869","103.9","2024-01-20",,,"59",",,7","51",",,7"
"USC00049219","VALLEJO, CA US","38.1","-122.1869","103.9","2024-01-21",,,"60",",,7","51",",,7"
"USC00049219","VALLEJO, CA US","38.1","-122.1869","103.9","2024-01-22",,,"65",",,7","54",",,7"
"USC00049219","VALLEJO, CA US","38.1","-122.1869","103.9","2024-01-23",,,"63",",,7","48",",,7"
"USC00049219","VALLEJO, CA US","38.1","-122.1869","103.9","2024-01-24",,,"60",",,7","50",",,7"
"USC00049219","VALLEJO, CA US","38.1","-122.1869","103.9","2024-01-25",,,"65",",,7","47",",,7"
"USC00049219","VALLEJO, CA US","38.1","-122.1869","103.9","2024-01-26",,,"64",",,7","49",",,7"
"USC00049219","VALLEJO, CA US","38.1","-122.1869","103.9","2024-01-27",,,"65",",,7","49",",,7"
"USC00049219","VALLEJO, CA US","38.1","-122.1869","103.9","2024-01-28",,,"69",",,7","53",",,7"
"USC00049219","VALLEJO, CA US","38.1","-122.1869","103.9","2024-01-29",,,"70",",,7","49",",,7"
"USC00049219","VALLEJO, CA US","38.1","-122.1869","103.9","2024-01-30",,,"68",",,7","52",",,7"
"USC00049219","VALLEJO, CA US","38.1","-122.1869","103.9","2024-02-01",,,"59",",,7","48",",,7"
"USC00049219","VALLEJO, CA US","38.1","-122.1869","103.9","2024-02-02",,,"58",",,7","46",",,7"
"USC00049219","VALLEJO, CA US","38.1","-122.1869","103.9","2024-02-03",,,"56",",,7","44",",,7"
"USC00049219","VALLEJO, CA US","38.1","-122.1869","103.9","2024-02-04",,,"62",",,7","45",",,7"
"USC00049219","VALLEJO, CA US","38.1","-122.1869","103.9","2024-02-05",,,"59",",,7","49",",,7"
"USC00049219","VALLEJO, CA US","38.1","-122.1869","103.9","2024-02-06",,,"60",",,7","41",",,7"
"USC00049219","VALLEJO, CA US","38.1","-122.1869","103.9","2024-02-07",,,"57",",,7","41",",,7"
"USC00049219","VALLEJO, CA US","38.1","-122.1869","103.9","2024-02-08",,,"57",",,7","37",",,7"
"USC00049219","VALLEJO, CA US","38.1","-122.1869","103.9","2024-02-09",,,"58",",,7","39",",,7"
"USC00049219","VALLEJO, CA US","38.1","-122.1869","103.9","2024-02-10",,,"65",",,7","41",",,7"
"USC00049219","VALLEJO, CA US","38.1","-122.1869","103.9","2024-02-11",,,,,,
"USC00049219","VALLEJO, CA US","38.1","-122.1869","103.9","2024-02-12",,,"64",",,7","42",",,7"
"USC00049219","VALLEJO, CA US","38.1","-122.1869","103.9","2024-02-13",,,"59",",,7","44",",,7"
"USC00049219","VALLEJO, CA US","38.1","-122.1869","103.9","2024-02-14",,,"57",",,7","49",",,7"
"USC00049219","VALLEJO, CA US","38.1","-122.1869","103.9","2024-02-15",,,"63",",,7","47",",,7"
"USC00049219","VALLEJO, CA US","38.1","-122.1869","103.9","2024-02-16",,,"60",",,7","48",",,7"
"USC00049219","VALLEJO, CA US","38.1","-122.1869","103.9","2024-02-17",,,"57",",,7","50",",,7"
"USC00049219","VALLEJO, CA US","38.1","-122.1869","103.9","2024-02-18",,,"62",",,7","48",",,7"
"USC00049219","VALLEJO, CA US","38.1","-122.1869","103.9","2024-02-19",,,"64",",,7","51",",,7"
"USC00049219","VALLEJO, CA US","38.1","-122.1869","103.9","2024-02-20",,,"58",",,7","49",",,7"
"USC00049219","VALLEJO, CA US","38.1","-122.1869","103.9","2024-02-21",,,"62",",,7","45",",,7"
"USC00049219","VALLEJO, CA US","38.1","-122.1869","103.9","2024-02-22",,,"63",",,7","43",",,7"
"USC00049219","VALLEJO, CA US","38.1","-122.1869","103.9","2024-02-23",,,"66",",,7","45",",,7"
"USC00049219","VALLEJO, CA US","38.1","-122.1869","103.9","2024-02-24",,,"70",",,7","49",",,7"
"USC00049219","VALLEJO, CA US","38.1","-122.1869","103.9","2024-02-25",,,"69",",,7","48",",,7"
"USC00049219","VALLEJO, CA US","38.1","-122.1869","103.9","2024-02-26",,,"67",",,7","48",",,7"
"USC00049219","VALLEJO, CA US","38.1","-122.1869","103.9","2024-02-27",,,"66",",,7","40",",,7"
"USC00049219","VALLEJO, CA US","38.1","-122.1869","103.9","2024-02-28",,,"71",",,7","42",",,7"
"USC00049219","VALLEJO, CA US","38.1","-122.1869","103.9","2024-02-29",,,"68",",,7","48",",,7"
"USC00049219","VALLEJO, CA US","38.1","-122.1869","103.9","2024-03-01",,,"57",",,7","48",",,7"
"USC00049219","VALLEJO, CA US","38.1","-122.1869","103.9","2024-03-02",,,"52",",,7","41",",,7"
"USC00049219","VALLEJO, CA US","38.1","-122.1869","103.9","2024-03-03",,,"54",",,7","39",",,7"
"USC00049219","VALLEJO, CA US","38.1","-122.1869","103.9","2024-03-04",,,"56",",,7","41",",,7"
"USC00049219","VALLEJO, CA US","38.1","-122.1869","103.9","2024-03-05",,,"58",",,7","49",",,7"
"USC00049219","VALLEJO, CA US","38.1","-122.1869","103.9","2024-03-06",,,"61",",,7","50",",,7"
"USC00049219","VALLEJO, CA US","38.1","-122.1869","103.9","2024-03-07",,,"65",",,7","43",",,7"
"USC00049219","VALLEJO, CA US","38.1","-122.1869","103.9","2024-03-08",,,"68",",,7","43",",,7"
"USC00049219","VALLEJO, CA US","38.1","-122.1869","103.9","2024-03-09",,,"67",",,7","45",",,7"
"USC00049219","VALLEJO, CA US","38.1","-122.1869","103.9","2024-03-10",,,"62",",,7","45",",,7"
"USC00049219","VALLEJO, CA US","38.1","-122.1869","103.9","2024-03-11",,,"62",",,7","45",",,7"
